,Country,Years,variable,"Energy intensity, primary energy"
0,China,2000.0,"Energy intensity, primary energy",1023305051.0
1,China,2001.0,"Energy intensity, primary energy",9833583306.0
2,China,2002.0,"Energy intensity, primary energy",9621842057.0
3,China,2003.0,"Energy intensity, primary energy",9994209983.0
4,China,2004.0,"Energy intensity, primary energy",1035599738.0
5,China,2005.0,"Energy intensity, primary energy",1028130878.0
6,China,2006.0,"Energy intensity, primary energy",9974489413.0
7,China,2007.0,"Energy intensity, primary energy",9446755652.0
8,China,2008.0,"Energy intensity, primary energy",8888790121.0
9,China,2009.0,"Energy intensity, primary energy",8693872841.0
10,China,2010.0,"Energy intensity, primary energy",8679178537.0
11,China,2011.0,"Energy intensity, primary energy",8502319501.0
12,China,2012.0,"Energy intensity, primary energy",8190299441.0
13,China,2013.0,"Energy intensity, primary energy",7851333803.0
14,China,2014.0,"Energy intensity, primary energy",7104220001.0
15,China,2015.0,"Energy intensity, primary energy",6690069702.0
16,China,2016.0,"Energy intensity, primary energy",
17,Germany,2000.0,"Energy intensity, primary energy",4635294282.0
18,Germany,2001.0,"Energy intensity, primary energy",4694756909.0
19,Germany,2002.0,"Energy intensity, primary energy",4589391211.0
20,Germany,2003.0,"Energy intensity, primary energy",459786268.0
21,Germany,2004.0,"Energy intensity, primary energy",4576951194.0
22,Germany,2005.0,"Energy intensity, primary energy",4511465998.0
23,Germany,2006.0,"Energy intensity, primary energy",447122845.0
24,Germany,2007.0,"Energy intensity, primary energy",4099191676.0
25,Germany,2008.0,"Energy intensity, primary energy",4099406678.0
26,Germany,2009.0,"Energy intensity, primary energy",4068098366.0
27,Germany,2010.0,"Energy intensity, primary energy",4115335557.0
28,Germany,2011.0,"Energy intensity, primary energy",3773036713.0
29,Germany,2012.0,"Energy intensity, primary energy",3771810715.0
30,Germany,2013.0,"Energy intensity, primary energy",3831755977.0
31,Germany,2014.0,"Energy intensity, primary energy",3640399424.0
32,Germany,2015.0,"Energy intensity, primary energy",3603094155.0
33,Germany,2016.0,"Energy intensity, primary energy",
34,India,2000.0,"Energy intensity, primary energy",6949594871.0
35,India,2001.0,"Energy intensity, primary energy",6724806376.0
36,India,2002.0,"Energy intensity, primary energy",6672001023.0
37,India,2003.0,"Energy intensity, primary energy",6333921729.0
38,India,2004.0,"Energy intensity, primary energy",6181107871.0
39,India,2005.0,"Energy intensity, primary energy",5877519466.0
40,India,2006.0,"Energy intensity, primary energy",5661849048.0
41,India,2007.0,"Energy intensity, primary energy",5507649299.0
42,India,2008.0,"Energy intensity, primary energy",556214241.0
43,India,2009.0,"Energy intensity, primary energy",5646711932.0
44,India,2010.0,"Energy intensity, primary energy",5353179242.0
45,India,2011.0,"Energy intensity, primary energy",5232985711.0
46,India,2012.0,"Energy intensity, primary energy",5199643316.0
47,India,2013.0,"Energy intensity, primary energy",498862544.0
48,India,2014.0,"Energy intensity, primary energy",4960149499.0
49,India,2015.0,"Energy intensity, primary energy",4730910449.0
50,India,2016.0,"Energy intensity, primary energy",
51,United States,2000.0,"Energy intensity, primary energy",7335371396.0
52,United States,2001.0,"Energy intensity, primary energy",7128216809.0
53,United States,2002.0,"Energy intensity, primary energy",7082367871.0
54,United States,2003.0,"Energy intensity, primary energy",6904967491.0
55,United States,2004.0,"Energy intensity, primary energy",6790206059.0
56,United States,2005.0,"Energy intensity, primary energy",660173784.0
57,United States,2006.0,"Energy intensity, primary energy",6369407404.0
58,United States,2007.0,"Energy intensity, primary energy",6367571447.0
59,United States,2008.0,"Energy intensity, primary energy",622245169.0
60,United States,2009.0,"Energy intensity, primary energy",6084563271.0
61,United States,2010.0,"Energy intensity, primary energy",6072479221.0
62,United States,2011.0,"Energy intensity, primary energy",590983675.0
63,United States,2012.0,"Energy intensity, primary energy",5692995246.0
64,United States,2013.0,"Energy intensity, primary energy",5676035631.0
65,United States,2014.0,"Energy intensity, primary energy",5621145713.0
66,United States,2015.0,"Energy intensity, primary energy",540839254.0
67,United States,2016.0,"Energy intensity, primary energy",
