Country Name,Country Code,Time,Time Code,Energy intensity-primary energy,Renewable share electricity output,Renewable share energy of TFEC,Total electricity output,Total final energy consumption (TFEC)
China,CHN,2000,YR2000,10.23305051,16.63949819,29.73071484,1355738,30187188.73
China,CHN,2001,YR2001,9.833583306,18.95851917,28.45581538,1480949,30940867.04
China,CHN,2002,YR2002,9.621842057,17.6186279,27.09820152,1654164,32272543.97
China,CHN,2003,YR2003,9.994209983,15.03704033,23.94657959,1910755,35505254.39
China,CHN,2004,YR2004,10.35599738,16.22326642,20.24947926,2203502,41469975.08
China,CHN,2005,YR2005,10.28130878,16.17502498,18.20381865,2500466,45785223.21
China,CHN,2006,YR2006,9.974489413,15.59278342,17.09461008,2865954,49175114.02
China,CHN,2007,YR2007,9.446755652,15.26334714,15.34937114,3281790,52829271.79
China,CHN,2008,YR2008,8.888790121,17.73744406,14.60199657,3467185,54691192.12
China,CHN,2009,YR2009,8.693872841,17.8637982,13.91196227,3715061,56930962.32
China,CHN,2010,YR2010,8.679178537,18.62282605,12.88431031,4197204,61093297.29
China,CHN,2011,YR2011,8.502319501,16.76177043,11.69579699,4704861,65459079.1
China,CHN,2012,YR2012,8.190299441,19.96624894,11.96856703,4984731,67426526.34
China,CHN,2013,YR2013,7.851333803,20.29622738,11.8381669,5436567,69906541.02
China,CHN,2014,YR2014,7.104220001,22.60915378,12.22382301,5665745,71536310.66
China,CHN,2015,YR2015,6.690069702,23.92681717,12.41335257,5844158,73183146.53
China,CHN,2016,YR2016,..,..,..,..,..
Germany,DEU,2000,YR2000,4.635294282,6.198531223,3.70043759,572313,8638440.514
Germany,DEU,2001,YR2001,4.694756909,6.512444018,3.89967279,581886,8812552.193
Germany,DEU,2002,YR2002,4.589391211,7.642700282,4.412636787,581954,8671255.271
Germany,DEU,2003,YR2003,4.59786268,7.552977702,5.058467425,603603,8839115.931
Germany,DEU,2004,YR2004,4.576951194,9.267474493,5.825244433,611105,8763328.404
Germany,DEU,2005,YR2005,4.511465998,10.15021111,6.764551009,615800,8626259.145
Germany,DEU,2006,YR2006,4.47122845,11.32201311,7.753224656,632732,8820320.967
Germany,DEU,2007,YR2007,4.099191676,13.93800806,9.406587903,633663,8247962.045
Germany,DEU,2008,YR2008,4.099406678,14.6992339,8.592248257,634380,8551613.944
Germany,DEU,2009,YR2009,4.068098366,16.07855368,9.63006157,589966,8118725.87
Germany,DEU,2010,YR2010,4.115335557,16.72707367,10.29351964,626583,8638160.04
Germany,DEU,2011,YR2011,3.773036713,20.38328272,11.39435591,607228,8211583.065
Germany,DEU,2012,YR2012,3.771810715,23.00045854,12.01513573,623718,8300447.226
Germany,DEU,2013,YR2013,3.831755977,24.07254975,12.08907875,632945,8524131.747
Germany,DEU,2014,YR2014,3.640399424,26.13009657,13.37887823,621938,8130876.006
Germany,DEU,2015,YR2015,3.603094155,29.23177012,14.2062527,640967,8327614.785
Germany,DEU,2016,YR2016,..,..,..,..,..
India,IND,2000,YR2000,6.949594871,13.59094803,51.57934762,569688,12080447.48
India,IND,2001,YR2001,6.724806376,13.20704353,51.78721923,588171,12162916.05
India,IND,2002,YR2002,6.672001023,12.05516116,50.56944266,610502,12583836.53
India,IND,2003,YR2003,6.333921729,13.46942476,50.84279906,650837,12722743.67
India,IND,2004,YR2004,6.181107871,14.4825005,49.72402461,683991,13273593.71
India,IND,2005,YR2005,5.877519466,16.61901808,48.57530875,715656,13900527.19
India,IND,2006,YR2006,5.661849048,17.54042472,47.44372171,773784,14552475.55
India,IND,2007,YR2007,5.507649299,17.86408569,45.86780352,823563,15352261.19
India,IND,2008,YR2008,5.56214241,16.50983374,43.63288301,848355,16342885.25
India,IND,2009,YR2009,5.646711932,15.66005525,40.77082759,917302,17750414.76
India,IND,2010,YR2010,5.353179242,16.04374444,39.48150873,979416,18684425.28
India,IND,2011,YR2011,5.232985711,17.31696286,38.93174021,1074536,19401668.04
India,IND,2012,YR2012,5.199643316,15.73297336,38.39089015,1123049,19869435.09
India,IND,2013,YR2013,4.98862544,17.34931383,37.84984118,1193480,20586036.18
India,IND,2014,YR2014,4.960149499,16.25383982,36.65183786,1287398,21562801.38
India,IND,2015,YR2015,4.730910449,15.34305035,36.02122257,1383004,22241457.76
India,IND,2016,YR2016,..,..,..,..,..
United States,USA,2000,YR2000,7.335371396,8.205996942,5.429623689,4025885,58330543.36
United States,USA,2001,YR2001,7.128216809,6.783992314,4.67857121,3838831,57219712.6
United States,USA,2002,YR2002,7.082367871,8.646361178,4.840779184,4026399,57240371.73
United States,USA,2003,YR2003,6.904967491,8.889376121,5.326282274,4054649,58069490.9
United States,USA,2004,YR2004,6.790206059,8.630185532,5.477656518,4148080,58840911.06
United States,USA,2005,YR2005,6.60173784,8.578465534,5.841090873,4268887,58889188.25
United States,USA,2006,YR2006,6.369407404,9.244631183,6.396513971,4275011,58707586.93
United States,USA,2007,YR2007,6.367571447,8.367763936,6.304128198,4323915,59567475.18
United States,USA,2008,YR2008,6.22245169,9.003541347,6.845540835,4342980,58277353.04
United States,USA,2009,YR2009,6.084563271,10.29184507,7.354404755,4165395,55341324.5
United States,USA,2010,YR2010,6.072479221,10.12035515,7.505172055,4354363,57655200.55
United States,USA,2011,YR2011,5.90983675,12.22571352,8.164451646,4326635,57123701.65
United States,USA,2012,YR2012,5.692995246,12.00739706,8.481450408,4270884,56628804.85
United States,USA,2013,YR2013,5.676035631,12.63791912,8.713261573,4287114,57984073.56
United States,USA,2014,YR2014,5.621145713,12.95382709,8.754308954,4319156,59116385.16
United States,USA,2015,YR2015,5.40839254,13.22859321,8.716935867,4297048,58483061.91
United States,USA,2016,YR2016,..,..,..,..,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Sustainable Energy for All,,,,,,,,
Last Updated: 06/30/2018,,,,,,,,
